,essay_id,score,pred_score
0,7363,1,1
1,7364,3,3
2,7365,2,2
3,7366,3,3
4,7367,1,1
5,7368,1,1
6,7369,1,1
7,7370,2,2
8,7371,3,3
9,7372,3,3
10,7373,3,3
11,7374,1,1
12,7375,2,3
13,7376,2,2
14,7377,2,3
15,7378,2,2
16,7379,2,1
17,7380,2,3
18,7381,3,3
19,7382,2,3
20,7383,1,1
21,7384,1,3
22,7385,1,1
23,7386,1,1
24,7387,3,3
25,7388,2,3
26,7389,3,3
27,7390,1,1
28,7391,3,3
29,7392,3,3
30,7393,2,2
31,7394,1,1
32,7395,1,1
33,7396,3,3
34,7397,2,2
35,7398,1,1
36,7399,1,1
37,7400,1,1
38,7401,3,2
39,7402,2,2
40,7403,2,2
41,7404,2,2
42,7405,3,3
43,7406,1,1
44,7407,3,3
45,7408,1,3
46,7409,2,3
47,7410,3,3
48,7411,1,1
49,7412,2,1
50,7413,3,3
51,7414,1,1
52,7415,3,3
53,7416,2,2
54,7417,3,3
55,7418,2,3
56,7419,3,3
57,7420,3,3
58,7421,1,1
59,7422,0,1
60,7423,2,1
61,7424,3,3
62,7425,1,1
63,7426,1,1
64,7427,2,2
65,7428,3,3
66,7429,3,3
67,7430,1,1
68,7431,2,1
69,7432,1,1
70,7433,2,2
71,7434,1,1
72,7435,3,3
73,7436,2,2
74,7437,2,3
75,7438,1,1
76,7439,2,2
77,7440,2,2
78,7441,1,0
79,7442,1,1
80,7443,3,2
81,7444,3,3
82,7445,1,1
83,7447,1,2
84,7448,2,2
85,7449,3,3
86,7450,2,2
87,7451,1,0
88,7452,2,2
89,7453,3,3
90,7454,1,2
91,7455,3,2
92,7456,3,3
93,7457,0,1
94,7458,2,1
95,7459,1,1
96,7460,1,1
97,7461,2,3
98,7462,2,2
99,7463,2,1
100,7464,2,3
101,7465,2,1
102,7466,1,1
103,7467,3,3
104,7468,1,3
105,7469,2,3
106,7470,2,3
107,7471,1,0
108,7472,2,1
109,7473,3,3
110,7474,2,2
111,7475,2,3
112,7476,2,3
113,7477,1,1
114,7478,3,3
115,7479,1,1
116,7480,3,3
117,7481,1,1
118,7482,2,2
119,7483,2,1
120,7484,1,1
121,7485,1,2
122,7486,1,2
123,7487,3,3
124,7488,1,2
125,7489,1,1
126,7490,2,2
127,7491,3,3
128,7492,2,3
129,7493,3,3
130,7494,2,2
131,7495,2,2
132,7496,1,1
133,7497,1,1
134,7498,2,2
135,7499,1,1
136,7500,1,1
137,7501,2,2
138,7502,3,3
139,7503,3,3
140,7504,3,3
141,7505,3,3
142,7506,1,1
143,7507,1,2
144,7508,1,1
145,7509,1,1
146,7510,2,2
147,7511,1,1
148,7512,2,2
149,7513,3,1
150,7514,3,3
151,7515,2,3
152,7516,3,3
153,7517,1,1
154,7518,1,1
155,7519,2,2
156,7520,1,1
157,7521,3,3
158,7522,2,3
159,7523,2,2
160,7524,2,1
161,7525,2,2
162,7526,3,2
163,7527,2,0
164,7528,3,3
165,7529,1,2
166,7530,2,3
167,7531,1,2
168,7532,1,2
169,7533,2,2
170,7534,3,3
171,7535,1,1
172,7536,1,1
173,7537,1,2
174,7538,2,2
175,7539,3,3
176,7540,2,1
177,7541,2,2
178,7542,3,3
179,7543,3,3
180,7544,1,3
181,7545,3,3
182,7546,3,3
183,7547,3,3
184,7548,3,3
185,7549,1,3
186,7550,1,1
187,7551,2,2
188,7552,1,1
189,7553,2,2
190,7554,3,3
191,7555,1,1
192,7556,2,2
193,7557,1,2
194,7558,2,1
195,7559,1,0
196,7560,2,2
197,7561,3,3
198,7562,2,2
199,7563,3,3
200,7564,2,1
201,7565,1,1
202,7566,1,1
203,7567,2,2
204,7568,2,3
205,7569,2,1
206,7570,2,2
207,7571,3,3
208,7572,2,3
209,7573,1,1
210,7574,3,3
211,7575,3,2
212,7576,2,2
213,7577,3,1
214,7578,3,3
215,7579,2,3
216,7580,2,1
217,7581,1,1
218,7582,2,2
219,7583,3,3
220,7584,2,2
221,7585,1,1
222,7586,2,2
223,7587,1,1
224,7588,2,3
225,7589,1,1
226,7590,3,3
227,7591,3,3
228,7592,1,1
229,7593,1,1
230,7594,1,1
231,7595,2,2
232,7596,2,3
233,7597,1,1
234,7598,2,3
235,7599,3,3
236,7600,2,2
237,7601,2,2
238,7602,2,2
239,7603,1,2
240,7604,2,2
241,7605,3,3
242,7606,3,3
243,7607,2,3
244,7608,1,3
245,7609,2,3
246,7610,2,2
247,7611,1,2
248,7612,1,2
249,7613,3,3
250,7614,2,3
251,7615,1,2
252,7616,3,3
253,7617,1,1
254,7618,1,1
255,7619,1,3
256,7620,3,2
257,7621,1,0
258,7622,2,3
259,7623,3,3
260,7624,3,3
261,7625,3,3
262,7626,2,2
263,7627,1,2
264,7628,2,3
265,7629,1,1
266,7630,2,2
267,7631,1,1
268,7632,2,2
269,7633,3,0
270,7634,1,1
271,7635,3,2
272,7636,1,1
273,7637,2,2
274,7638,2,2
275,7639,2,2
276,7640,2,2
277,7641,3,3
278,7642,2,3
279,7643,2,2
280,7644,1,1
281,7645,2,2
282,7646,1,1
283,7647,2,2
284,7648,0,1
285,7649,2,2
286,7650,1,2
287,7651,1,1
288,7652,2,2
289,7653,2,2
290,7654,1,2
291,7655,1,1
292,7656,1,1
293,7657,3,3
294,7658,2,2
295,7659,2,2
296,7660,2,2
297,7661,2,2
298,7662,2,3
299,7663,3,3
300,7664,2,2
301,7665,2,2
302,7666,2,3
303,7667,2,2
304,7668,1,2
305,7669,3,3
306,7670,0,1
307,7671,0,0
308,7672,3,3
309,7673,3,1
310,7674,2,2
311,7675,2,2
312,7676,2,2
313,7677,3,3
314,7678,1,1
315,7679,1,2
316,7680,3,3
317,7681,3,3
318,7682,1,2
319,7683,2,2
320,7684,3,3
321,7685,3,2
322,7686,1,3
323,7687,3,3
324,7688,3,3
325,7689,3,3
326,7690,2,2
327,7691,2,2
328,7692,2,2
329,7693,3,3
330,7694,3,3
331,7695,1,1
332,7696,2,3
333,7697,2,2
334,7698,2,2
335,7699,1,2
336,7700,3,3
337,7701,0,1
338,7702,3,3
339,7703,2,2
340,7704,2,2
341,7705,1,1
342,7706,2,2
343,7707,2,3
344,7708,3,3
