,essay_id,score,pred_score
0,242,1,0
1,243,0,0
2,244,5,5
3,245,0,6
4,246,6,6
5,247,6,5
6,248,0,0
7,249,2,0
8,250,4,6
9,251,0,0
10,252,0,0
11,253,3,5
12,254,5,6
13,255,6,5
14,256,0,0
15,257,2,0
16,258,5,5
17,259,2,5
18,260,4,4
19,261,0,0
20,262,0,0
21,263,3,0
22,264,0,0
23,265,5,0
24,266,0,0
25,267,5,5
26,268,2,0
27,269,0,0
28,270,2,1
29,271,0,5
30,272,0,0
31,273,3,6
32,274,4,5
33,275,0,0
34,276,0,4
35,277,0,0
36,278,4,5
37,279,6,6
38,280,6,5
39,281,5,6
40,282,6,6
41,283,2,0
42,284,5,4
43,285,4,0
44,286,4,5
45,287,6,6
46,288,6,4
47,289,6,6
48,290,6,6
49,291,3,4
50,292,3,5
51,293,5,5
52,294,5,5
53,295,4,5
54,296,5,5
55,297,0,0
56,298,5,2
57,299,6,5
58,300,0,0
59,301,2,4
