,essay_id,score,pred_score
0,543,4,2
1,544,4,4
2,545,6,6
3,546,3,3
4,547,6,5
5,548,3,6
6,549,0,1
7,550,0,0
8,551,6,4
9,552,1,2
10,553,0,0
11,554,3,4
12,555,3,4
13,556,4,4
14,557,1,1
15,558,0,0
16,559,3,2
17,560,4,4
18,561,3,4
19,562,0,0
20,563,5,2
21,564,2,3
22,565,2,0
23,566,5,0
24,567,0,0
25,568,4,4
26,569,4,4
27,570,0,4
28,571,3,2
29,572,1,6
30,573,0,0
31,574,3,0
32,575,3,5
33,576,5,4
34,577,3,4
35,578,2,3
36,579,4,4
37,580,6,6
38,581,6,6
39,582,4,2
40,583,5,4
41,584,4,6
42,585,6,5
43,586,2,4
44,587,4,1
45,588,6,5
46,589,3,4
47,590,4,6
48,591,2,2
49,592,5,4
50,593,6,2
51,594,3,4
52,595,4,1
53,596,3,4
54,597,6,5
55,598,3,4
56,599,6,5
57,600,4,4
58,601,4,4
59,602,6,4
