,essay_id,score,pred_score
0,1432,8,8
1,1433,8,8
2,1434,9,8
3,1435,10,10
4,1436,8,8
5,1437,8,8
6,1438,9,8
7,1439,10,8
8,1440,10,10
9,1441,8,8
10,1442,6,7
11,1443,12,12
12,1444,10,8
13,1445,8,8
14,1446,10,9
15,1447,12,11
16,1448,9,8
17,1449,9,9
18,1450,10,9
19,1451,9,9
20,1452,12,11
21,1453,9,8
22,1454,11,10
23,1455,8,8
24,1456,10,10
25,1457,7,8
26,1458,9,8
27,1459,8,8
28,1460,10,9
29,1461,6,7
30,1462,7,4
31,1463,8,7
32,1464,10,10
33,1465,8,8
34,1466,8,7
35,1467,10,10
36,1468,9,8
37,1469,8,9
38,1470,10,9
39,1471,8,8
40,1472,8,8
41,1473,6,7
42,1474,4,4
43,1475,8,8
44,1476,9,8
45,1477,6,7
46,1478,9,8
47,1479,7,8
48,1480,9,8
49,1481,7,8
50,1482,7,7
51,1483,6,5
52,1484,9,8
53,1485,9,8
54,1486,8,8
55,1487,8,8
56,1488,8,8
57,1489,9,8
58,1490,6,6
59,1491,11,12
60,1492,8,5
61,1493,11,10
62,1494,10,10
63,1495,8,8
64,1496,6,5
65,1497,9,9
66,1498,8,8
67,1499,10,9
68,1500,8,8
69,1501,8,8
70,1502,10,10
71,1503,9,8
72,1504,8,8
73,1505,9,8
74,1506,8,8
75,1507,9,7
76,1508,8,7
77,1509,8,9
78,1510,8,8
79,1511,7,8
80,1512,8,8
81,1513,5,4
82,1514,8,8
83,1515,10,10
84,1516,8,8
85,1517,8,8
86,1518,10,9
87,1519,8,8
88,1520,9,8
89,1521,8,8
90,1522,10,10
91,1523,8,8
92,1524,6,5
93,1525,8,8
94,1526,10,9
95,1527,10,8
96,1528,6,4
97,1529,8,8
98,1530,8,8
99,1531,8,8
100,1532,6,8
101,1533,6,7
102,1534,9,8
103,1535,6,7
104,1536,4,5
105,1537,8,8
106,1538,9,8
107,1539,9,8
108,1540,8,8
109,1541,8,8
110,1542,10,10
111,1543,8,7
112,1544,10,9
113,1545,8,8
114,1546,10,10
115,1547,7,7
116,1548,8,8
117,1549,6,5
118,1550,8,8
119,1551,9,11
120,1552,6,8
121,1553,7,9
122,1554,8,8
123,1555,2,4
124,1556,8,8
125,1557,8,9
126,1558,8,9
127,1559,7,6
128,1560,9,9
129,1561,9,8
130,1562,4,4
131,1563,6,6
132,1564,8,8
133,1565,8,8
134,1566,8,8
135,1567,11,10
136,1568,7,7
137,1569,5,5
138,1570,11,10
139,1571,7,8
140,1572,8,8
141,1573,10,10
142,1574,8,10
143,1575,9,9
144,1576,8,8
145,1577,8,8
146,1578,9,8
147,1579,8,8
148,1580,8,8
149,1581,11,10
150,1582,10,9
151,1583,8,8
152,1584,9,8
153,1585,9,10
154,1586,7,7
155,1587,10,10
156,1588,10,10
157,1589,10,10
158,1590,11,10
159,1591,9,10
160,1592,2,2
161,1593,10,9
162,1594,8,8
163,1595,8,9
164,1596,9,8
165,1597,11,10
166,1598,10,10
167,1599,9,8
168,1600,8,8
169,1601,8,8
170,1602,10,10
171,1603,8,8
172,1604,8,8
173,1605,8,8
174,1606,9,8
175,1607,9,9
176,1608,8,8
177,1609,9,9
178,1610,11,12
179,1611,8,8
180,1612,8,8
181,1613,9,8
182,1614,9,8
183,1615,9,8
184,1616,9,10
185,1617,8,8
186,1618,8,7
187,1619,9,8
188,1620,7,8
189,1621,10,10
190,1622,10,11
191,1623,9,9
192,1624,8,8
193,1625,8,8
194,1626,8,8
195,1627,8,8
196,1628,10,10
197,1629,10,10
198,1630,10,10
199,1631,8,8
200,1632,8,9
201,1633,8,8
202,1634,8,8
203,1635,10,8
204,1636,10,10
205,1637,8,8
206,1638,8,8
207,1639,10,9
208,1640,8,8
209,1641,8,8
210,1642,8,8
211,1643,11,10
212,1644,8,8
213,1645,11,10
214,1646,8,8
215,1647,6,6
216,1648,11,10
217,1649,9,8
218,1650,8,8
219,1651,9,9
220,1652,8,7
221,1653,8,8
222,1654,9,10
223,1655,8,8
224,1656,8,7
225,1657,8,8
226,1658,9,8
227,1659,9,9
228,1660,8,8
229,1661,10,9
230,1662,8,8
231,1663,9,8
232,1664,8,8
233,1665,9,10
234,1666,9,10
235,1667,10,8
236,1668,9,9
237,1669,10,11
238,1670,9,8
239,1671,11,11
240,1672,6,8
241,1673,5,4
242,1674,8,9
243,1675,11,10
244,1676,8,8
245,1677,10,10
246,1678,8,8
247,1679,8,8
248,1680,8,8
249,1681,6,6
250,1682,8,8
251,1683,7,8
252,1684,8,8
253,1685,8,8
254,1686,5,4
255,1687,10,11
256,1688,8,8
257,1689,7,7
258,1690,9,8
259,1691,11,10
260,1692,9,9
261,1693,10,9
262,1694,10,9
263,1695,9,9
264,1696,9,8
265,1697,8,8
266,1698,8,9
267,1699,8,8
268,1700,9,10
269,1701,8,8
270,1702,8,7
271,1703,11,10
272,1704,8,8
273,1705,12,9
274,1706,6,7
275,1707,7,8
276,1708,7,7
277,1709,8,8
278,1710,9,8
279,1711,6,7
280,1712,9,9
281,1713,8,8
282,1714,6,8
283,1715,10,10
284,1716,7,8
285,1717,8,9
286,1718,9,8
287,1719,8,10
288,1720,11,10
289,1721,9,8
290,1722,9,8
291,1723,9,8
292,1724,10,10
293,1725,9,9
294,1726,9,9
295,1727,10,8
296,1728,9,10
297,1729,8,8
298,1730,10,8
299,1731,9,8
300,1732,8,8
301,1733,8,8
302,1734,9,9
303,1735,7,8
304,1736,11,12
305,1737,8,8
306,1738,7,8
307,1739,10,10
308,1740,8,8
309,1741,8,8
310,1742,6,7
311,1743,9,8
312,1744,11,10
313,1745,10,10
314,1746,10,8
315,1747,8,8
316,1748,9,8
317,1749,6,4
318,1750,8,8
319,1751,8,8
320,1752,9,10
321,1753,8,7
322,1754,10,12
323,1755,8,8
324,1756,10,10
325,1757,8,8
326,1758,10,10
327,1759,10,8
328,1760,12,10
329,1761,8,8
330,1762,8,8
331,1763,12,10
332,1764,8,9
333,1765,5,4
334,1766,8,8
335,1767,9,9
336,1768,8,9
337,1769,9,8
338,1770,10,9
339,1771,8,8
340,1772,10,10
341,1773,8,8
342,1774,10,10
343,1775,9,8
344,1776,9,8
345,1777,11,10
346,1778,5,4
347,1779,10,9
348,1780,9,10
349,1781,10,9
350,1782,8,8
351,1783,8,9
352,1784,7,7
353,1785,8,8
354,1786,2,2
355,1787,7,7
