,essay_id,score,pred_score
0,19223,20,17
1,19224,13,16
2,19225,10,12
3,19226,14,16
4,19227,23,16
5,19228,12,14
6,19229,23,24
7,19230,13,16
8,19231,11,14
9,19232,17,16
10,19233,18,17
11,19234,17,17
12,19236,16,24
13,19237,23,17
14,19238,20,21
15,19239,19,24
16,19240,16,17
17,19241,16,24
18,19242,17,17
19,19243,24,24
20,19244,19,17
21,19245,16,16
22,19246,15,16
23,19247,13,12
24,19248,21,21
25,19249,15,14
26,19250,23,24
27,19251,11,16
28,19253,16,16
29,19254,10,14
30,19255,15,14
31,19256,16,17
32,19257,16,17
33,19258,21,17
34,19259,15,17
35,19260,18,14
36,19261,17,16
37,19262,17,17
38,19263,19,24
39,19264,11,17
40,19265,19,24
41,19266,24,24
42,19267,18,24
43,19268,17,17
44,19270,22,17
45,19271,24,24
46,19272,16,16
47,19273,22,24
48,19274,18,16
49,19275,23,24
50,19276,16,16
51,19277,17,16
52,19278,24,24
53,19280,12,12
54,19281,17,17
55,19282,10,9
56,19283,18,16
57,19285,18,17
58,19286,17,17
59,19287,14,12
60,19289,18,17
61,19290,23,17
62,19291,15,16
63,19292,16,16
64,19293,17,17
65,19294,18,17
66,19295,13,12
67,19296,14,16
68,19297,19,17
69,19298,13,16
70,19300,11,16
71,19301,22,24
72,19302,11,14
73,19303,14,12
74,19304,10,14
75,19305,17,16
76,19306,16,16
77,19307,19,17
78,19308,17,16
79,19310,10,12
80,19311,23,24
81,19312,24,24
82,19313,23,24
83,19314,18,17
84,19315,12,16
85,19316,11,16
86,19317,20,16
87,19318,14,14
88,19319,11,14
89,19320,8,9
90,19321,13,17
91,19322,20,24
92,19323,13,9
93,19324,16,16
94,19326,15,14
95,19327,16,12
96,19328,12,9
97,19329,16,14
98,19330,12,9
99,19331,20,17
100,19332,15,16
101,19333,16,16
102,19334,15,17
103,19335,14,17
104,19336,16,16
105,19337,6,17
106,19338,14,12
107,19339,15,17
108,19340,15,16
109,19341,12,16
110,19342,24,24
111,19343,20,17
112,19344,20,17
113,19345,16,12
114,19346,20,24
115,19348,9,17
116,19349,7,8
117,19350,16,16
118,19351,16,17
119,19352,22,17
120,19353,8,8
121,19354,14,16
122,19355,22,24
123,19356,16,16
124,19357,16,14
125,19358,8,8
126,19359,21,16
127,19360,18,24
128,19361,16,14
129,19362,13,9
130,19363,20,24
131,19364,21,17
132,19366,17,17
133,19368,16,16
134,19369,15,12
135,19371,7,8
136,19372,16,21
137,19373,6,9
138,19374,13,12
139,19375,17,16
140,19376,9,9
141,19377,14,13
142,19378,21,17
143,19379,22,24
144,19380,16,17
145,19381,22,21
146,19382,17,17
147,19383,21,24
148,19384,10,9
149,19385,14,14
150,19386,22,24
151,19387,14,16
152,19388,18,17
153,19389,16,17
154,19390,13,12
155,19391,18,17
156,19392,12,12
157,19393,8,9
158,19394,16,14
159,19395,24,24
160,19396,18,17
161,19397,14,16
162,19398,8,8
163,19400,8,9
164,19401,13,13
165,19402,11,16
166,19403,21,24
167,19404,14,12
168,19405,14,16
169,19406,23,17
170,19408,14,17
171,19409,20,16
172,19410,16,21
173,19411,13,12
174,19412,20,17
175,19413,22,24
176,19414,21,24
177,19415,13,12
178,19416,16,17
179,19417,17,16
180,19419,19,17
181,19420,16,16
182,19421,23,24
183,19422,20,24
184,19423,22,16
185,19424,6,8
186,19425,13,14
187,19427,22,24
188,19428,10,12
189,19429,20,16
190,19430,14,9
191,19431,20,17
192,19432,18,16
193,19433,19,21
194,19434,8,12
195,19435,17,17
196,19436,6,9
197,19437,16,17
198,19438,13,16
199,19439,12,14
200,19440,12,12
201,19441,22,24
202,19442,16,16
203,19443,19,21
204,19444,13,17
205,19445,19,16
206,19446,24,21
207,19447,18,16
208,19448,15,17
209,19449,12,16
210,19450,4,8
211,19451,22,17
212,19454,10,9
213,19455,13,16
214,19456,9,14
215,19457,16,17
216,19458,12,16
217,19459,21,16
218,19460,16,17
219,19462,16,17
220,19463,21,24
221,19464,16,16
222,19465,7,9
223,19466,15,16
224,19467,11,12
225,19468,21,24
226,19469,13,12
227,19470,15,16
228,19471,23,24
229,19472,19,8
230,19473,20,24
231,19474,20,17
232,19475,18,24
233,19476,17,16
234,19477,16,16
235,19478,24,24
236,19479,14,16
237,19480,12,16
238,19481,24,24
239,19482,19,16
240,19484,17,16
241,19485,18,16
242,19488,19,9
243,19489,12,14
244,19490,13,16
245,19491,8,9
246,19492,7,9
247,19493,6,8
248,19494,14,17
249,19495,13,16
250,19496,16,17
251,19497,9,8
252,19498,16,17
253,19499,21,24
254,19500,9,16
255,19501,24,17
256,19502,24,24
257,19503,16,16
258,19504,16,17
259,19505,17,24
260,19506,20,17
261,19507,17,17
262,19508,12,16
263,19509,11,9
264,19510,14,9
265,19511,11,17
266,19512,22,24
267,19513,18,17
268,19514,18,16
269,19515,19,16
270,19516,24,17
271,19517,14,16
272,19518,23,24
273,19519,19,16
274,19520,18,16
275,19521,13,12
276,19522,22,24
277,19523,19,17
278,19524,19,16
279,19525,17,16
280,19526,12,9
281,19527,13,16
282,19528,13,14
283,19529,24,24
284,19530,24,24
285,19533,14,16
286,19534,18,17
287,19535,16,16
288,19536,16,16
289,19537,13,9
290,19538,14,17
291,19539,14,16
292,19540,16,24
293,19541,13,16
294,19542,15,16
295,19543,16,16
296,19544,9,16
297,19545,15,16
298,19546,16,14
299,19547,18,24
300,19548,18,17
301,19549,8,14
302,19550,8,9
303,19553,19,17
304,19554,14,17
305,19555,18,17
306,19556,19,24
307,19557,24,24
308,19558,12,12
309,19559,16,14
310,19561,19,16
311,19562,22,24
312,19563,15,17
